KPZ,0.8308393,0.03500881
FQX,0.45097676,0.15853892
AUC,-0.6085622,0.3145992
QQJ,-0.31411242,-0.19352923
LXZ,-0.37071243,-0.20999461
ZIH,0.18595433,0.45034483
BAN,-0.13275404,0.097194955
BOB,-0.14832479,0.38013944
QKU,-0.26379877,0.047224283
CVI,0.56431824,0.21583112
TWI,-0.22104672,0.16459168
TKH,0.47201294,0.21815519
PSA,-0.35397032,-0.4099079
PRY,-0.21385646,0.034812152
CLB,-0.26578197,-0.46149763
WTS,0.09353728,0.011728686
TVX,-0.4207544,-0.2826403
YGY,0.28321734,-0.10470447
PLF,0.17240329,-0.09650455
MTJ,-0.246587,-0.24342677
PJK,-0.3926064,-0.6068169
YTJ,-0.16955496,0.5260645
XAY,-0.34008133,-0.26163712
JYM,-0.36392263,-0.17585091
MCZ,-0.58153284,-0.33268073
KNA,-0.09113046,-0.21603969
QNI,-0.09236165,-0.24143526
UVM,0.03963433,0.035157062
ELC,-0.032543782,-0.055820893
DJJ,0.23602915,0.09066302
VSE,-0.23624173,-0.29503575
UGR,-0.15711598,-0.22385572
XWW,-0.53637284,-0.26739314
KLW,-0.510496,-0.44146013
ROC,-0.2248882,-0.5393184
MIO,-0.48911402,-0.33780247
ITH,-0.3955601,-0.13288413
DRR,0.09035899,0.49198166
JVN,-0.14918825,0.28384632
KBP,0.29915363,-0.03651423
HLX,1.0528921,0.3374068
NMR,-0.44774476,-0.3232927
PCT,-0.095527,-0.33123627
SVD,-0.40148705,-0.37836006
BGZ,0.06433028,-0.26458728
JMX,-0.14775103,-0.62766016
YWZ,0.39612472,0.18100563
KFA,0.21284176,0.1202439
WUG,0.91252124,-0.08592997
USG,-0.12381155,-0.3161481
MQG,0.7280863,-0.1689276
OCC,0.17948844,-0.23243009
TTE,-0.39898145,-0.26768368
TJU,-0.56885445,-0.18814003
YCD,0.80290616,-0.14044747
QWB,-0.19545422,-0.6045381
OTE,1.2171135,0.12270912
YGD,1.0162469,-0.25627235
ZIV,1.0528938,-0.0869217
RLK,0.66566366,-0.47066513
LSB,0.9595251,-0.031029155
DQI,1.0422297,0.020068174
FGW,0.6321996,0.01628326
JBL,-0.7169332,0.76071966
FAC,-0.6688136,-0.09502346
ZTW,-0.44037032,-0.05842268
AHP,-0.12195545,-0.6049312
MJC,-0.7528706,-0.041981783
OTQ,-0.9253991,0.1597132
TSR,-0.7547553,0.9556666
HWA,-0.75289375,0.77009577
FSL,-0.52339846,0.6770267
NSO,-0.5828117,-0.26376665
NXO,-0.5848137,-0.24854599
WHI,-0.1982736,0.54816025
ROE,0.007325877,0.046066906
ZWB,-0.7191526,0.923609
AOR,-0.660754,0.7864572
OWC,-0.7280619,0.7819129
BMF,-0.28043824,0.2958351
GUO,0.2570652,-0.010847065
JIR,-0.74308854,0.970325
YUF,-0.9426778,0.16089046
ALM,-0.83385694,0.32633907
